brand,model,vehicle_type,initial_battery_capacity_kwh,current_battery_capacity_kwh,battery_health_pct,range_km,top_speed_kmph,odometer_km,warranty_remaining_years,annual_maintenance_cost,Purchase_Year,Current_Year,Purchase_Price_L,Initial_Mileage,Current_Mileage,Initial_Perf,Current_Perf,Resale_Value_L,Value_for_Money_Score
Tata,Tata Nexon EV,Car,40.0,33.96,84,312,120,59664,4,30590,2021,2025,1426301,292,242,7.69,6.89,726188,1.0
Ola,Ola S1 Pro,Bike,4.0,3.5,87,180,95,46691,4,3000,2021,2025,161904,194,182,7.94,7.91,84956,1.0
Ola,Ola S1 Pro,Bike,4.0,2.61,65,180,95,79995,2,7580,2019,2025,152126,182,168,8.93,8.46,46097,0.9
MG,MG ZS EV,Car,50.0,48.01,96,419,140,30335,7,35963,2024,2025,2445853,430,399,8.65,8.08,2066687,1.2
Mahindra,Mahindra XUV400,Car,39.4,30.39,77,375,150,81765,2,21409,2019,2025,1874546,393,362,7.83,6.5,671469,0.9
MG,MG ZS EV,Car,50.0,42.43,84,419,140,61623,4,24867,2021,2025,2313882,437,412,8.39,8.37,1177537,1.0
Ather,Ather 450X,Bike,3.7,3.05,82,150,90,49634,5,8103,2022,2025,175753,145,141,7.52,7.01,98729,1.0
Hyundai,Hyundai Kona Electric,Car,39.0,37.81,96,305,155,14490,7,20513,2024,2025,2232649,297,295,8.36,7.73,1904781,1.2
Tata,Tata Nexon EV,Car,40.0,30.68,76,312,120,75385,2,28087,2019,2025,1374406,300,266,8.68,7.92,489560,0.9
Ather,Ather 450X,Bike,3.7,3.35,90,150,90,71350,4,5801,2021,2025,168980,135,121,8.24,7.41,91750,1.0
Bajaj,Bajaj Chetak,Bike,3.0,2.23,74,120,70,57427,5,12948,2022,2025,133246,134,108,8.34,7.48,67497,1.0
Mahindra,Mahindra XUV400,Car,39.4,30.38,77,375,150,81588,2,28376,2019,2025,2164070,377,348,8.44,8.24,774923,0.8
MG,MG ZS EV,Car,50.0,43.59,87,419,140,47399,5,21966,2022,2025,2496660,427,380,8.22,8.11,1483283,1.0
Ather,Ather 450X,Bike,3.7,2.81,75,150,90,54713,5,12721,2022,2025,161391,155,145,8.26,7.48,83527,1.1
TVS,TVS iQube,Bike,3.4,3.12,91,145,82,42802,5,3000,2022,2025,147789,153,123,7.95,6.9,92419,1.0
Hyundai,Hyundai Kona Electric,Car,39.0,37.18,95,305,155,30640,7,30582,2024,2025,2293105,311,296,8.12,6.87,1923762,1.1
TVS,TVS iQube,Bike,3.4,2.04,60,145,82,113300,0,3206,2017,2025,137856,154,143,7.77,7.12,29746,0.7
Tata,Tata Nexon EV,Car,40.0,26.96,67,312,120,111027,0,35184,2017,2025,1648141,296,258,8.56,8.05,399498,0.7
Mahindra,Mahindra XUV400,Car,39.4,29.88,75,375,150,81734,2,25144,2019,2025,2047209,361,325,8.64,7.26,721012,0.7
TVS,TVS iQube,Bike,3.4,3.14,92,145,82,63444,3,4550,2020,2025,129373,159,122,8.25,7.07,63053,1.0
TVS,TVS iQube,Bike,3.4,2.2,64,145,82,113364,0,3779,2017,2025,148797,165,139,7.81,6.54,34625,0.6
Tata,Tata Nexon EV,Car,40.0,38.74,96,312,120,35885,7,21638,2024,2025,1633300,300,283,8.85,8.63,1392028,1.0
Hyundai,Hyundai Kona Electric,Car,39.0,29.41,75,305,155,96654,2,29048,2019,2025,2293339,312,284,8.5,8.17,803146,0.7
Hyundai,Hyundai Kona Electric,Car,39.0,31.04,79,305,155,73299,3,17115,2020,2025,2258225,299,287,8.7,7.44,948500,0.8
Ather,Ather 450X,Bike,3.7,2.64,71,150,90,69301,3,9058,2020,2025,149690,165,157,8.57,7.56,56364,0.8
Tata,Tata Nexon EV,Car,40.0,36.51,91,312,120,47774,6,23361,2023,2025,1528037,312,308,8.41,7.9,1080067,1.0
Tata,Tata Nexon EV,Car,40.0,30.49,76,312,120,85351,2,24855,2019,2025,1577464,325,295,8.76,7.84,558409,0.8
TVS,TVS iQube,Bike,3.4,3.16,92,145,82,39430,6,11250,2023,2025,134916,127,107,8.69,8.05,97103,1.0
Ola,Ola S1 Pro,Bike,4.0,3.47,86,180,95,97461,2,3862,2019,2025,159485,192,169,8.02,7.76,64251,0.9
Ather,Ather 450X,Bike,3.7,2.65,71,150,90,123129,0,12117,2017,2025,160035,158,120,7.93,7.56,41221,0.6
MG,MG ZS EV,Car,50.0,41.58,83,419,140,59727,4,21914,2021,2025,2613842,437,400,8.08,7.29,1303540,0.9
Hyundai,Hyundai Kona Electric,Car,39.0,29.69,76,305,155,76246,2,19663,2019,2025,2176676,289,240,8.35,7.97,769547,0.7
MG,MG ZS EV,Car,50.0,41.86,83,419,140,61592,4,23172,2021,2025,2295340,406,384,8.14,7.38,1152409,1.0
TVS,TVS iQube,Bike,3.4,3.24,95,145,82,40019,7,8146,2024,2025,147758,153,134,8.4,7.32,123908,1.0
Hyundai,Hyundai Kona Electric,Car,39.0,37.27,95,305,155,25606,7,30058,2024,2025,2277179,290,266,8.82,7.79,1915025,1.1
Hyundai,Hyundai Kona Electric,Car,39.0,32.56,83,305,155,65384,4,27857,2021,2025,2218190,291,285,8.39,7.5,1110578,0.8
Bajaj,Bajaj Chetak,Bike,3.0,2.99,99,120,70,36674,5,13679,2022,2025,133562,126,80,7.73,6.23,90715,1.0
Mahindra,Mahindra XUV400,Car,39.4,31.6,80,375,150,74234,3,24083,2020,2025,2084082,361,311,8.88,7.73,882102,0.9
Ather,Ather 450X,Bike,3.7,3.4,91,150,90,33448,6,6806,2023,2025,172006,159,150,8.16,7.57,122401,1.1
Bajaj,Bajaj Chetak,Bike,3.0,1.97,65,120,70,68752,3,3000,2020,2025,142550,116,73,7.86,6.7,49399,0.8
Bajaj,Bajaj Chetak,Bike,3.0,2.74,91,120,70,51901,4,4835,2021,2025,136109,105,76,8.71,7.84,74549,1.1
Tata,Tata Nexon EV,Car,40.0,36.67,91,312,120,34721,6,20271,2023,2025,1561621,305,292,7.79,6.33,1108643,1.0
Ola,Ola S1 Pro,Bike,4.0,3.58,89,180,95,39873,5,7454,2022,2025,164968,199,196,8.69,7.27,100616,1.0
Ather,Ather 450X,Bike,3.7,2.72,73,150,90,76925,1,3000,2018,2025,147258,167,142,7.95,7.09,44240,0.7
Mahindra,Mahindra XUV400,Car,39.4,32.93,83,375,150,49356,4,26352,2021,2025,2177594,382,362,8.34,8.31,1091448,0.9
Ola,Ola S1 Pro,Bike,4.0,4.31,107,180,95,24343,7,7910,2024,2025,136293,169,121,8.13,7.43,129233,1.1
TVS,TVS iQube,Bike,3.4,2.56,75,145,82,48063,5,6934,2022,2025,146541,135,87,8.33,7.61,75191,0.9
Hyundai,Hyundai Kona Electric,Car,39.0,26.74,68,305,155,120419,0,42728,2017,2025,2206405,288,245,7.92,7.63,544055,0.6
Tata,Tata Nexon EV,Car,40.0,37.97,94,312,120,12829,7,42449,2024,2025,1554936,292,244,7.75,6.74,1298900,1.1
Tata,Tata Nexon EV,Car,40.0,38.07,95,312,120,22665,7,31806,2024,2025,1498537,318,274,8.73,8.55,1255084,1.2
Ather,Ather 450X,Bike,3.7,2.58,69,150,90,83538,2,3000,2019,2025,152980,145,145,7.55,6.08,49539,0.9
TVS,TVS iQube,Bike,3.4,2.04,60,145,82,97136,0,9014,2017,2025,141889,149,149,8.53,8.18,30616,0.6
Hyundai,Hyundai Kona Electric,Car,39.0,32.47,83,305,155,63679,4,25493,2021,2025,2327112,298,292,8.41,8.28,1161891,0.9
Ola,Ola S1 Pro,Bike,4.0,2.82,70,180,95,86882,2,10756,2019,2025,158562,171,147,7.79,7.36,51913,0.9
TVS,TVS iQube,Bike,3.4,3.32,97,145,82,39855,6,15409,2023,2025,137066,154,151,8.24,6.87,103646,1.1
TVS,TVS iQube,Bike,3.4,3.68,108,145,82,27784,7,20219,2024,2025,147268,152,127,8.86,8.36,140268,1.2
Ola,Ola S1 Pro,Bike,4.0,3.08,77,180,95,57132,4,9355,2021,2025,163701,185,174,8.91,8.9,75591,0.9
Bajaj,Bajaj Chetak,Bike,3.0,3.38,112,120,70,8977,7,11788,2024,2025,124226,116,78,8.53,8.27,123165,1.3
Bajaj,Bajaj Chetak,Bike,3.0,2.36,78,120,70,53491,4,10737,2021,2025,134988,132,93,8.49,7.44,63681,1.0
Hyundai,Hyundai Kona Electric,Car,39.0,26.69,68,305,155,112611,0,24651,2017,2025,2197226,316,293,8.63,7.85,540779,0.7
Hyundai,Hyundai Kona Electric,Car,39.0,35.62,91,305,155,34044,6,21239,2023,2025,2504548,291,242,8.81,7.68,1771430,1.0
Bajaj,Bajaj Chetak,Bike,3.0,2.56,85,120,70,20183,7,8657,2024,2025,141110,130,81,8.47,7.23,105964,1.2
Bajaj,Bajaj Chetak,Bike,3.0,2.22,74,120,70,74552,2,13914,2019,2025,126313,110,98,8.86,7.37,43408,0.9
TVS,TVS iQube,Bike,3.4,3.48,102,145,82,15160,7,4270,2024,2025,136716,152,141,8.47,7.02,123140,1.3
Tata,Tata Nexon EV,Car,40.0,31.64,79,312,120,73033,3,30426,2020,2025,1417105,305,259,8.56,7.4,591550,0.8
Bajaj,Bajaj Chetak,Bike,3.0,2.46,82,120,70,108550,0,5716,2017,2025,131764,135,88,8.82,8.61,38857,0.6
Mahindra,Mahindra XUV400,Car,39.4,32.69,82,375,150,68745,4,17989,2021,2025,2164044,384,334,8.28,7.38,1076751,0.8
Tata,Tata Nexon EV,Car,40.0,36.63,91,312,120,20463,6,26686,2023,2025,1590128,319,289,8.76,7.92,1127650,1.1
MG,MG ZS EV,Car,50.0,33.68,67,419,140,112889,0,29783,2017,2025,2612514,430,405,8.47,7.23,632881,0.6
Hyundai,Hyundai Kona Electric,Car,39.0,30.07,77,305,155,80021,2,33732,2019,2025,2211161,309,285,7.82,7.16,791744,0.7
Bajaj,Bajaj Chetak,Bike,3.0,2.65,88,120,70,60528,3,6343,2020,2025,130581,102,95,8.87,8.03,60872,1.0
Hyundai,Hyundai Kona Electric,Car,39.0,36.13,92,305,155,32271,6,23501,2023,2025,2081778,292,266,8.23,6.88,1493492,1.1
Ola,Ola S1 Pro,Bike,4.0,4.13,103,180,95,24465,7,3000,2024,2025,152083,192,177,8.18,7.44,138182,1.1
Mahindra,Mahindra XUV400,Car,39.4,33.44,84,375,150,56151,4,35604,2021,2025,1922000,374,327,8.88,8.15,978259,0.9
Hyundai,Hyundai Kona Electric,Car,39.0,34.11,87,305,155,41431,5,18890,2022,2025,2442166,309,264,8.06,7.57,1455594,1.1
Tata,Tata Nexon EV,Car,40.0,30.74,76,312,120,71510,2,25744,2019,2025,1592800,317,312,8.32,7.07,568461,0.7
Hyundai,Hyundai Kona Electric,Car,39.0,32.32,82,305,155,55339,4,26890,2021,2025,2515776,295,271,7.86,6.54,1250286,1.0
Ather,Ather 450X,Bike,3.7,3.71,100,150,90,27772,7,6404,2024,2025,170263,135,135,8.34,6.89,150236,1.2
Ather,Ather 450X,Bike,3.7,3.21,86,150,90,34092,5,3000,2022,2025,155355,165,120,7.75,6.41,91849,1.1
Ola,Ola S1 Pro,Bike,4.0,2.72,68,180,95,83351,2,9450,2019,2025,144614,166,116,8.11,7.21,45668,0.7
Tata,Tata Nexon EV,Car,40.0,31.62,79,312,120,83430,3,26456,2020,2025,1350189,319,305,7.69,6.32,563261,0.7
MG,MG ZS EV,Car,50.0,42.22,84,419,140,58839,4,26571,2021,2025,2396733,418,375,8.57,7.5,1213664,1.0
Ather,Ather 450X,Bike,3.7,3.16,85,150,90,16847,7,9703,2024,2025,145238,161,152,7.92,7.01,109156,1.2
TVS,TVS iQube,Bike,3.4,2.29,67,145,82,100530,0,8646,2017,2025,129880,133,127,7.76,7.69,31460,0.8
Hyundai,Hyundai Kona Electric,Car,39.0,26.03,66,305,155,114158,0,37151,2017,2025,2090184,313,291,7.84,6.97,501713,0.7
Ather,Ather 450X,Bike,3.7,2.74,74,150,90,71270,3,6368,2020,2025,149282,152,143,8.94,8.07,58340,0.9
Hyundai,Hyundai Kona Electric,Car,39.0,34.3,87,305,155,52417,5,24181,2022,2025,2222279,294,249,8.36,6.99,1331913,1.0
TVS,TVS iQube,Bike,3.4,3.74,110,145,82,25521,7,13708,2024,2025,128073,165,153,7.83,6.69,123974,1.1
Ather,Ather 450X,Bike,3.7,2.36,63,150,90,79586,2,17581,2019,2025,173376,143,117,8.9,7.57,51356,0.7
Tata,Tata Nexon EV,Car,40.0,36.57,91,312,120,35653,6,25938,2023,2025,1436373,302,259,8.7,7.82,1016945,1.2
MG,MG ZS EV,Car,50.0,43.52,87,419,140,52113,5,24526,2022,2025,2747227,427,416,8.82,8.27,1629526,1.0
Mahindra,Mahindra XUV400,Car,39.4,36.14,91,375,150,32922,6,24417,2023,2025,1972835,386,356,8.66,7.73,1401354,1.0
Bajaj,Bajaj Chetak,Bike,3.0,2.39,79,120,70,24133,7,9005,2024,2025,127081,139,138,7.51,6.51,89092,1.1
Ola,Ola S1 Pro,Bike,4.0,3.36,84,180,95,26868,6,11560,2023,2025,161050,177,129,8.37,7.47,104762,1.0
Ather,Ather 450X,Bike,3.7,3.89,105,150,90,24925,7,3771,2024,2025,150893,163,114,8.33,7.72,139604,1.1
Ather,Ather 450X,Bike,3.7,2.99,80,150,90,47040,6,3000,2023,2025,159017,135,108,7.91,7.88,99512,0.9
Ather,Ather 450X,Bike,3.7,3.08,83,150,90,58947,4,3000,2021,2025,166615,151,121,8.7,8.12,83175,0.8
Ola,Ola S1 Pro,Bike,4.0,3.91,97,180,95,31651,6,15116,2023,2025,144160,169,136,8.81,8.76,109125,1.1
Hyundai,Hyundai Kona Electric,Car,39.0,28.2,72,305,155,94709,1,24171,2018,2025,2204583,296,255,8.57,7.68,651462,0.8
Ola,Ola S1 Pro,Bike,4.0,3.21,80,180,95,38356,6,3000,2023,2025,140178,177,129,7.5,6.32,87114,1.1
Ola,Ola S1 Pro,Bike,4.0,2.71,67,180,95,90921,1,15125,2018,2025,161737,197,182,7.55,6.1,44781,0.8
MG,MG ZS EV,Car,50.0,48.16,96,419,140,25585,7,29502,2024,2025,2669531,431,429,8.73,7.63,2262737,1.0
Tata,Tata Nexon EV,Car,40.0,32.47,81,312,120,72982,3,29054,2020,2025,1359549,306,294,8.62,7.65,582412,0.8
Hyundai,Hyundai Kona Electric,Car,39.0,29.56,75,305,155,75584,2,25611,2019,2025,2208521,324,309,8.23,7.64,777387,0.8
Hyundai,Hyundai Kona Electric,Car,39.0,31.36,80,305,155,82997,3,28608,2020,2025,2213915,316,267,8.27,6.8,939476,0.8
Ather,Ather 450X,Bike,3.7,3.81,102,150,90,43726,6,7753,2023,2025,165653,145,128,8.8,7.74,132095,1.2
Bajaj,Bajaj Chetak,Bike,3.0,3.0,100,120,70,51416,5,16346,2022,2025,120640,139,93,8.77,7.31,82212,1.0
Ola,Ola S1 Pro,Bike,4.0,2.65,66,180,95,84317,2,11231,2019,2025,142991,181,133,7.86,7.79,43993,0.8
Mahindra,Mahindra XUV400,Car,39.4,31.5,79,375,150,80298,3,15028,2020,2025,1894924,372,343,8.9,8.78,799501,0.8
Ather,Ather 450X,Bike,3.7,3.79,102,150,90,32857,6,11225,2023,2025,151387,163,163,7.76,7.3,120085,1.1
Hyundai,Hyundai Kona Electric,Car,39.0,32.67,83,305,155,66288,4,36805,2021,2025,2113661,305,273,8.57,7.31,1061819,0.9
Bajaj,Bajaj Chetak,Bike,3.0,2.13,71,120,70,58207,4,12143,2021,2025,120262,135,89,7.86,7.53,51205,0.8
Bajaj,Bajaj Chetak,Bike,3.0,2.8,93,120,70,34552,5,12405,2022,2025,137031,114,68,7.88,6.61,87157,1.1
Tata,Tata Nexon EV,Car,40.0,34.73,86,312,120,45475,5,26480,2022,2025,1523561,303,289,7.52,6.82,901472,1.0
Ola,Ola S1 Pro,Bike,4.0,3.53,88,180,95,76568,3,17047,2020,2025,153323,161,161,8.09,6.84,71406,0.9
MG,MG ZS EV,Car,50.0,33.92,67,419,140,102493,0,36056,2017,2025,2613930,403,362,8.39,7.83,637736,0.5
Mahindra,Mahindra XUV400,Car,39.4,31.1,78,375,150,66267,3,17550,2020,2025,1892359,362,327,8.42,7.74,788280,0.8
TVS,TVS iQube,Bike,3.4,2.42,71,145,82,93700,1,15558,2018,2025,152073,163,113,7.88,7.75,44235,0.8
Mahindra,Mahindra XUV400,Car,39.4,31.32,79,375,150,85675,3,30533,2020,2025,1944235,356,337,7.5,6.16,815619,0.9
Hyundai,Hyundai Kona Electric,Car,39.0,33.01,84,305,155,58150,4,22775,2021,2025,2489011,293,291,8.31,7.56,1263392,0.9
Ola,Ola S1 Pro,Bike,4.0,3.42,85,180,95,61261,4,3000,2021,2025,141318,182,182,7.83,7.54,72459,1.0
Ola,Ola S1 Pro,Bike,4.0,2.89,72,180,95,88473,2,10667,2019,2025,142519,182,176,8.29,7.34,47819,0.9
TVS,TVS iQube,Bike,3.4,3.58,105,145,82,27350,7,13546,2024,2025,136544,159,127,8.23,7.69,126520,1.1
Tata,Tata Nexon EV,Car,40.0,28.42,71,312,120,93964,1,23129,2018,2025,1460030,313,295,8.89,8.88,423940,0.8
Hyundai,Hyundai Kona Electric,Car,39.0,30.08,77,305,155,75643,2,29372,2019,2025,2275498,293,278,8.5,7.31,815052,0.9
Hyundai,Hyundai Kona Electric,Car,39.0,31.65,81,305,155,65004,3,20010,2020,2025,2198100,302,260,8.7,8.1,941390,0.9
TVS,TVS iQube,Bike,3.4,2.04,60,145,82,105629,0,9301,2017,2025,151162,135,126,8.38,7.46,32617,0.7
Bajaj,Bajaj Chetak,Bike,3.0,1.8,60,120,70,77553,2,8691,2019,2025,140841,110,77,8.76,8.59,39244,0.8
TVS,TVS iQube,Bike,3.4,2.75,80,145,82,68170,3,6893,2020,2025,139114,138,91,7.56,6.33,59379,0.9
Bajaj,Bajaj Chetak,Bike,3.0,2.11,70,120,70,115088,0,10986,2017,2025,124740,138,135,8.86,7.95,31552,0.7
TVS,TVS iQube,Bike,3.4,3.54,104,145,82,37020,6,3171,2023,2025,141538,137,111,8.04,6.65,114120,1.2
Ather,Ather 450X,Bike,3.7,2.63,71,150,90,122672,0,4034,2017,2025,164003,170,169,7.87,7.18,41924,0.7
Bajaj,Bajaj Chetak,Bike,3.0,2.29,76,120,70,84620,2,7432,2019,2025,133158,105,97,8.88,8.17,47203,0.8
MG,MG ZS EV,Car,50.0,40.5,81,419,140,74595,3,26920,2020,2025,2549235,429,388,8.35,7.42,1089703,0.8
Hyundai,Hyundai Kona Electric,Car,39.0,28.05,71,305,155,95036,1,23967,2018,2025,2200679,318,301,7.53,6.46,646850,0.7
Ather,Ather 450X,Bike,3.7,3.41,92,150,90,26673,7,8645,2024,2025,166801,168,139,8.2,7.1,135280,1.1
Ather,Ather 450X,Bike,3.7,3.3,89,150,90,39020,7,10276,2024,2025,167019,158,110,7.85,7.58,131087,1.1
Mahindra,Mahindra XUV400,Car,39.4,26.51,67,375,150,119444,0,25872,2017,2025,1870931,376,326,8.63,8.41,452723,0.7
Bajaj,Bajaj Chetak,Bike,3.0,1.85,61,120,70,100377,1,15663,2018,2025,136011,138,113,8.45,7.77,34277,0.7
Ather,Ather 450X,Bike,3.7,3.01,81,150,90,66213,4,3000,2021,2025,144989,139,112,7.78,7.38,70734,1.0
TVS,TVS iQube,Bike,3.4,3.48,102,145,82,23278,7,5199,2024,2025,139607,157,136,8.37,7.52,125744,1.1
TVS,TVS iQube,Bike,3.4,2.64,77,145,82,64265,5,3923,2022,2025,128023,158,128,8.11,7.03,67742,1.0
Ather,Ather 450X,Bike,3.7,3.32,89,150,90,47151,5,4388,2022,2025,168259,159,112,8.43,7.22,102887,1.0
Ola,Ola S1 Pro,Bike,4.0,3.53,88,180,95,90790,2,3000,2019,2025,155349,173,133,8.12,6.75,63667,0.9
MG,MG ZS EV,Car,50.0,45.55,91,419,140,36719,6,25121,2023,2025,2660828,420,391,8.73,8.48,1877156,1.0
Ather,Ather 450X,Bike,3.7,2.91,78,150,90,108463,0,3000,2017,2025,156143,154,128,8.01,6.73,44164,0.7
Bajaj,Bajaj Chetak,Bike,3.0,2.5,83,120,70,54348,5,8244,2022,2025,137863,135,131,8.86,7.67,78291,1.0
Hyundai,Hyundai Kona Electric,Car,39.0,33.24,85,305,155,55034,4,25870,2021,2025,2243934,293,248,8.04,7.8,1146930,0.9
Bajaj,Bajaj Chetak,Bike,3.0,2.42,80,120,70,59156,4,5006,2021,2025,129300,100,60,8.77,8.35,62549,0.9
Ather,Ather 450X,Bike,3.7,2.67,72,150,90,81365,2,11828,2019,2025,165343,168,166,8.65,7.5,55410,0.8
Bajaj,Bajaj Chetak,Bike,3.0,2.66,88,120,70,51577,5,13386,2022,2025,118235,138,131,8.61,8.59,71442,1.1
Mahindra,Mahindra XUV400,Car,39.4,33.28,84,375,150,60002,4,24370,2021,2025,1993188,392,388,8.07,7.81,1009638,1.0
MG,MG ZS EV,Car,50.0,40.29,80,419,140,70201,3,23227,2020,2025,2680121,416,389,8.72,8.22,1139711,0.8
Ola,Ola S1 Pro,Bike,4.0,2.87,71,180,95,87367,2,13059,2019,2025,157638,175,166,7.51,7.08,52526,0.8
Tata,Tata Nexon EV,Car,40.0,31.82,79,312,120,67374,3,26644,2020,2025,1480427,298,281,8.78,7.51,621499,0.9
Hyundai,Hyundai Kona Electric,Car,39.0,33.01,84,305,155,74649,4,34168,2021,2025,2519817,316,302,8.87,7.78,1279029,0.9
Tata,Tata Nexon EV,Car,40.0,33.36,83,312,120,56626,4,21707,2021,2025,1464254,307,271,8.33,8.07,732340,1.0
Bajaj,Bajaj Chetak,Bike,3.0,1.88,62,120,70,94244,2,6227,2019,2025,135288,138,137,8.48,8.32,39372,0.7
TVS,TVS iQube,Bike,3.4,3.02,88,145,82,69728,3,15822,2020,2025,131407,139,104,8.9,7.83,61597,0.8
Mahindra,Mahindra XUV400,Car,39.4,26.54,67,375,150,111982,0,22933,2017,2025,2124963,362,351,8.7,8.48,514774,0.6
Mahindra,Mahindra XUV400,Car,39.4,27.87,70,375,150,95206,1,32928,2018,2025,2059038,384,340,8.64,7.98,595228,0.6
Ola,Ola S1 Pro,Bike,4.0,3.27,81,180,95,31533,6,3000,2023,2025,150990,174,148,8.72,8.11,95587,1.1
Tata,Tata Nexon EV,Car,40.0,34.91,87,312,120,33025,5,25903,2022,2025,1459089,311,282,8.54,8.22,867800,1.0
Tata,Tata Nexon EV,Car,40.0,35.13,87,312,120,55809,5,28799,2022,2025,1599927,301,259,7.82,7.0,957560,1.0
Ather,Ather 450X,Bike,3.7,3.57,96,150,90,66901,4,10147,2021,2025,166540,156,149,8.31,8.24,96364,0.9
MG,MG ZS EV,Car,50.0,38.11,76,419,140,85450,2,24558,2019,2025,2700856,415,380,7.91,7.13,956018,0.8
Ather,Ather 450X,Bike,3.7,3.21,86,150,90,32587,6,3667,2023,2025,155284,144,111,8.36,7.66,104326,1.1
Tata,Tata Nexon EV,Car,40.0,33.83,84,312,120,71921,4,26230,2021,2025,1523339,319,278,8.97,7.76,772625,0.8
Mahindra,Mahindra XUV400,Car,39.4,34.82,88,375,150,39067,5,30526,2022,2025,2123086,377,360,8.59,7.52,1278639,1.1
Bajaj,Bajaj Chetak,Bike,3.0,2.55,85,120,70,57014,4,7997,2021,2025,133335,123,123,8.15,6.7,67966,0.9
Hyundai,Hyundai Kona Electric,Car,39.0,37.38,95,305,155,29617,7,27310,2024,2025,2456917,303,270,8.9,7.85,2072277,1.2
Bajaj,Bajaj Chetak,Bike,3.0,2.33,77,120,70,49870,4,4372,2021,2025,127041,105,60,8.98,8.53,59171,1.0
Bajaj,Bajaj Chetak,Bike,3.0,2.28,75,120,70,55418,4,14175,2021,2025,118017,124,110,8.1,7.54,53788,1.0
Hyundai,Hyundai Kona Electric,Car,39.0,30.04,77,305,155,79288,2,28531,2019,2025,2326638,304,288,7.75,6.7,832262,0.8
MG,MG ZS EV,Car,50.0,34.22,68,419,140,123582,0,26305,2017,2025,2498799,434,389,8.02,7.15,615039,0.7
Tata,Tata Nexon EV,Car,40.0,28.56,71,312,120,91957,1,31260,2018,2025,1407109,300,255,8.69,8.46,410586,0.6
Mahindra,Mahindra XUV400,Car,39.4,28.83,73,375,150,108777,1,30659,2018,2025,2172189,385,359,7.59,6.34,649568,0.7
Tata,Tata Nexon EV,Car,40.0,34.83,87,312,120,51239,5,22732,2022,2025,1390580,314,304,8.9,8.15,825158,0.9
Tata,Tata Nexon EV,Car,40.0,30.21,75,312,120,80207,2,20893,2019,2025,1422404,292,251,7.95,6.76,498895,0.9
Ola,Ola S1 Pro,Bike,4.0,4.11,102,180,95,26657,7,13884,2024,2025,152302,197,185,7.68,7.63,137711,1.2
Ola,Ola S1 Pro,Bike,4.0,3.11,77,180,95,98691,2,21128,2019,2025,144699,182,174,8.27,7.55,52247,0.8
Bajaj,Bajaj Chetak,Bike,3.0,2.73,91,120,70,51970,4,3000,2021,2025,134198,104,78,8.18,7.71,73234,1.0
MG,MG ZS EV,Car,50.0,47.56,95,419,140,30012,7,26558,2024,2025,2264779,433,421,7.65,6.9,1895746,1.1
Bajaj,Bajaj Chetak,Bike,3.0,2.43,81,120,70,55195,5,13363,2022,2025,117689,140,94,8.15,7.58,64963,1.0
TVS,TVS iQube,Bike,3.4,3.05,89,145,82,56762,5,3692,2022,2025,138940,157,146,8.25,6.95,84936,1.1
Bajaj,Bajaj Chetak,Bike,3.0,2.47,82,120,70,68637,3,11895,2020,2025,130398,125,83,8.25,8.14,56657,0.9
Bajaj,Bajaj Chetak,Bike,3.0,2.52,84,120,70,59701,4,4335,2021,2025,138560,131,103,8.32,7.1,69798,1.0
MG,MG ZS EV,Car,50.0,43.87,87,419,140,51349,5,31999,2022,2025,2643465,401,390,8.79,8.79,1580589,1.0
Tata,Tata Nexon EV,Car,40.0,32.03,80,312,120,76370,3,23227,2020,2025,1362664,297,282,8.93,7.56,575836,0.9
Ola,Ola S1 Pro,Bike,4.0,3.62,90,180,95,26670,7,3000,2024,2025,146359,172,157,7.6,6.43,116560,1.2
Tata,Tata Nexon EV,Car,40.0,30.89,77,312,120,86194,2,27005,2019,2025,1421423,309,274,7.86,7.18,509773,0.7
Hyundai,Hyundai Kona Electric,Car,39.0,30.99,79,305,155,71911,3,33095,2020,2025,2208104,307,283,7.51,6.47,925954,0.8
MG,MG ZS EV,Car,50.0,45.67,91,419,140,50358,6,20731,2023,2025,2700417,438,396,8.72,7.66,1910104,1.0
MG,MG ZS EV,Car,50.0,45.55,91,419,140,34864,6,28631,2023,2025,2520449,403,364,7.71,7.59,1778122,1.1
Ather,Ather 450X,Bike,3.7,2.86,77,150,90,72007,3,7765,2020,2025,153308,161,122,8.24,8.02,62537,0.8
TVS,TVS iQube,Bike,3.4,3.44,101,145,82,40703,6,3000,2023,2025,152139,161,134,7.51,6.8,119202,1.0
Ather,Ather 450X,Bike,3.7,2.87,77,150,90,101651,1,6145,2018,2025,161978,159,113,8.24,7.61,51346,0.8
TVS,TVS iQube,Bike,3.4,2.93,86,145,82,60686,3,8288,2020,2025,131837,159,154,8.16,6.89,59956,0.8
Tata,Tata Nexon EV,Car,40.0,33.93,84,312,120,61908,4,10179,2021,2025,1632324,327,280,8.61,7.39,830349,0.9
Mahindra,Mahindra XUV400,Car,39.4,31.44,79,375,150,61924,3,34086,2020,2025,2069225,385,378,8.78,8.62,871379,0.9
MG,MG ZS EV,Car,50.0,46.39,92,419,140,46859,6,23221,2023,2025,2714620,415,379,8.04,6.65,1950422,1.0
Hyundai,Hyundai Kona Electric,Car,39.0,34.64,88,305,155,57065,5,18291,2022,2025,2183457,316,276,8.19,7.65,1321617,1.1
